train_loss,epoch,step,valid_loss,valid_mae,train_mae,test_mae
5.59375,0,9,,,,
4.75,0,19,,,,
4.40625,0,29,,,,
4.5,0,39,,,,
,0,43,4.109375,0.7124999761581421,,
,0,43,,,0.9275568127632141,
3.921875,1,49,,,,
4.34375,1,59,,,,
4.0625,1,69,,,,
3.46875,1,79,,,,
,1,87,3.575000047683716,0.6000000238418579,,
,1,87,,,0.6051136255264282,
4.1875,2,89,,,,
2.453125,2,99,,,,
3.15625,2,109,,,,
2.796875,2,119,,,,
3.65625,2,129,,,,
,2,131,3.253124952316284,0.512499988079071,,
,2,131,,,0.5241477489471436,
3.0,3,139,,,,
3.09375,3,149,,,,
3.296875,3,159,,,,
3.75,3,169,,,,
,3,175,3.034374952316284,0.44999998807907104,,
,3,175,,,0.4701704680919647,
3.03125,4,179,,,,
4.15625,4,189,,,,
3.09375,4,199,,,,
2.40625,4,209,,,,
2.046875,4,219,,,,
,4,219,2.8140625953674316,0.4124999940395355,,
,4,219,,,0.4261363744735718,
1.7890625,5,229,,,,
2.1875,5,239,,,,
3.25,5,249,,,,
2.53125,5,259,,,,
,5,263,2.6546874046325684,0.4124999940395355,,
,5,263,,,0.3892045319080353,
2.390625,6,269,,,,
2.96875,6,279,,,,
2.578125,6,289,,,,
2.3125,6,299,,,,
,6,307,2.546875,0.375,,
,6,307,,,0.35085228085517883,
2.375,7,309,,,,
1.640625,7,319,,,,
2.5,7,329,,,,
2.265625,7,339,,,,
2.609375,7,349,,,,
,7,351,2.4781250953674316,0.3499999940395355,,
,7,351,,,0.3338068127632141,
2.09375,8,359,,,,
2.125,8,369,,,,
2.8125,8,379,,,,
2.890625,8,389,,,,
,8,395,2.4078125953674316,0.3499999940395355,,
,8,395,,,0.31534090638160706,
2.125,9,399,,,,
3.21875,9,409,,,,
2.03125,9,419,,,,
1.859375,9,429,,,,
1.953125,9,439,,,,
,9,439,2.403125047683716,0.3499999940395355,,
,9,439,,,0.30539771914482117,
1.0859375,10,449,,,,
1.7734375,10,459,,,,
2.65625,10,469,,,,
2.03125,10,479,,,,
,10,483,2.3578124046325684,0.3375000059604645,,
,10,483,,,0.2911931872367859,
1.9765625,11,489,,,,
2.40625,11,499,,,,
2.03125,11,509,,,,
1.8515625,11,519,,,,
,11,527,2.3125,0.3125,,
,11,527,,,0.27840909361839294,
1.515625,12,529,,,,
1.4296875,12,539,,,,
2.140625,12,549,,,,
1.921875,12,559,,,,
2.28125,12,569,,,,
,12,571,2.301562547683716,0.3125,,
,12,571,,,0.2698863744735718,
1.9375,13,579,,,,
1.703125,13,589,,,,
2.671875,13,599,,,,
2.515625,13,609,,,,
,13,615,2.2640624046325684,0.30000001192092896,,
,13,615,,,0.2642045319080353,
1.984375,14,619,,,,
3.0625,14,629,,,,
1.9375,14,639,,,,
1.546875,14,649,,,,
1.671875,14,659,,,,
,14,659,2.190624952316284,0.2874999940395355,,
,14,659,,,0.25284090638160706,
0.86328125,15,669,,,,
1.484375,15,679,,,,
2.34375,15,689,,,,
1.796875,15,699,,,,
,15,703,2.206249952316284,0.2750000059604645,,
,15,703,,,0.24857954680919647,
1.7109375,16,709,,,,
2.109375,16,719,,,,
1.8359375,16,729,,,,
1.5859375,16,739,,,,
,16,747,2.160937547683716,0.23749999701976776,,
,16,747,,,0.2400568127632141,
1.25,17,749,,,,
1.28125,17,759,,,,
1.7734375,17,769,,,,
1.75,17,779,,,,
2.03125,17,789,,,,
,17,791,2.1421875953674316,0.25,,
,17,791,,,0.24289773404598236,
1.6640625,18,799,,,,
1.484375,18,809,,,,
2.5,18,819,,,,
2.265625,18,829,,,,
,18,835,2.135937452316284,0.26249998807907104,,
,18,835,,,0.23721590638160706,
1.9140625,19,839,,,,
2.78125,19,849,,,,
1.890625,19,859,,,,
1.4140625,19,869,,,,
1.5,19,879,,,,
,19,879,2.114062547683716,0.26249998807907104,,
,19,879,,,0.23153409361839294,
,16,880,,,,0.23749999701976776
,16,880,,,,0.3499999940395355
